ticker,entry_date,exit_date,holding_days,entry_price,exit_price,return_pct
MOM100.NS,2020-01-27,2020-03-23,56,19.35,12.37,-36.136
JUNIORBEES.NS,2020-01-13,2020-03-16,63,298.42,231.71,-22.432
HNGSNGBEES.NS,2025-11-10,2026-03-30,140,528.86,451.93,-14.632
PSUBNKBEES.NS,2021-11-01,2021-12-20,49,31.26,26.93,-13.938
DIVOPPBEES.NS,2018-09-03,2018-10-08,35,32.68,28.2,-13.795
PSUBNKBEES.NS,2026-02-09,2026-05-18,98,102.03,88.21,-13.631
CPSEETF.NS,2019-06-17,2019-07-29,42,27.74,24.16,-12.993
HNGSNGBEES.NS,2018-05-21,2018-10-15,147,360.0,315.5,-12.449
BANKBEES.NS,2019-09-23,2019-10-07,14,313.68,283.33,-9.766
PSUBNKBEES.NS,2022-01-31,2022-03-14,42,32.53,29.43,-9.62
INFRABEES.NS,2022-01-17,2022-02-28,42,551.86,501.31,-9.251
MOM100.NS,2018-01-08,2018-04-30,112,22.77,20.71,-9.138
PSUBNKBEES.NS,2022-03-21,2022-05-16,56,29.55,26.94,-8.924
PSUBNKBEES.NS,2019-02-04,2019-02-18,14,32.33,29.51,-8.814
MAFANG.NS,2026-02-02,2026-02-09,7,166.17,153.26,-7.861
