date,action,ticker,units,price,gross,cost,cash_after,entry_price,pct_from_entry
2018-01-29,BUY,MON100.NS,9592,52.1,499743.2,249.8716,500006.9284,,
2018-01-29,BUY,MOM100.NS,21122,23.66,499746.52,249.87326000000002,10.535139999934472,,
2018-02-19,SELL,MOM100.NS,21122,21.56,455390.31999999995,227.69516,455173.1599799999,23.66,-8.876
2018-02-19,BUY,GOLDBEES.NS,16501,27.57,454932.57,227.466285,13.12369499990018,,
2018-04-09,SELL,MON100.NS,9592,50.31,482573.52,241.28676000000002,482345.35693499993,52.1,-3.436
2018-04-09,BUY,JUNIORBEES.NS,1570,307.03,482037.1,241.01855,67.2383849999751,,
2018-04-23,SELL,JUNIORBEES.NS,1570,309.07,485239.89999999997,242.61995,485064.5184349999,307.03,0.664
2018-04-23,BUY,MON100.NS,9217,52.6,484814.2,242.4071,7.911334999895189,,
2018-04-30,SELL,MON100.NS,9217,50.11,461863.87,230.931935,461640.8493999999,52.6,-4.734
2018-04-30,SELL,GOLDBEES.NS,16501,27.75,457902.75,228.951375,919314.6480249999,27.57,0.653
2018-04-30,BUY,JUNIORBEES.NS,1464,313.8,459403.2,229.7016,459681.7464249999,,
2018-04-30,BUY,NIFTYBEES.NS,4132,111.17,459354.44,229.67722,97.62920499988832,,
2018-05-07,SELL,JUNIORBEES.NS,1464,305.34,447017.75999999995,223.50887999999998,446891.88032499986,313.8,-2.696
2018-05-07,BUY,BANKBEES.NS,1708,261.4,446471.19999999995,223.23559999999998,197.44472499989206,,
2018-05-21,SELL,NIFTYBEES.NS,4132,109.05,450594.6,225.2973,450566.7474249999,111.17,-1.907
2018-05-21,BUY,MON100.NS,8149,55.26,450313.74,225.15687,27.850554999895394,,
2018-06-18,SELL,BANKBEES.NS,1708,269.26,459896.07999999996,229.94804,459693.98251499987,261.4,3.007
2018-06-18,BUY,PSUBNKBEES.NS,13646,33.67,459460.82,229.73041,3.432104999839794,,
2018-06-25,SELL,PSUBNKBEES.NS,13646,32.16,438855.3599999999,219.42767999999998,438639.36442499975,33.67,-4.485
2018-06-25,BUY,BANKBEES.NS,1617,271.13,438417.21,219.208605,2.9458199997316115,,
2018-07-23,SELL,BANKBEES.NS,1617,274.01,443074.17,221.537085,442855.5787349997,271.13,1.062
2018-07-23,BUY,NIFTYBEES.NS,3837,115.34,442559.58,221.27979000000002,74.71894499968039,,
2018-07-30,SELL,NIFTYBEES.NS,3837,117.74,451768.38,225.88419000000002,451617.2147549997,115.34,2.081
2018-07-30,BUY,PSUBNKBEES.NS,12566,35.92,451370.72000000003,225.68536000000003,20.809394999640062,,
2018-08-06,SELL,MON100.NS,8149,58.37,475657.13,237.828565,475440.11082999967,55.26,5.628
2018-08-06,BUY,NIFTYBEES.NS,4002,118.74,475197.48,237.59874,5.032089999702293,,
2018-08-13,SELL,NIFTYBEES.NS,4002,118.23,473156.46,236.57823000000002,472924.91385999974,118.74,-0.43
2018-08-13,BUY,BANKBEES.NS,1669,283.13,472543.97,236.271985,144.67187499976717,,
2018-08-20,SELL,BANKBEES.NS,1669,288.34,481239.45999999996,240.61972999999998,481143.51214499975,283.13,1.84
2018-08-20,BUY,NIFTYBEES.NS,3998,120.27,480839.45999999996,240.41973,63.63241499976721,,
2018-08-27,SELL,NIFTYBEES.NS,3998,121.79,486916.42000000004,243.45821000000004,486736.5942049998,120.27,1.264
2018-08-27,BUY,JUNIORBEES.NS,1536,316.69,486435.83999999997,243.21792,57.5362849998055,,
2018-09-10,SELL,JUNIORBEES.NS,1536,308.19,473379.83999999997,236.68992,473200.6863649998,316.69,-2.684
2018-09-10,SELL,PSUBNKBEES.NS,12566,34.13,428877.58,214.43879,901863.8275749998,35.92,-4.983
2018-09-10,BUY,NIF100BEES.NS,3730,120.81,450621.3,225.31065,451017.2169249998,,
2018-09-10,BUY,NIFTYBEES.NS,3766,119.65,450601.9,225.30095000000003,190.0159749997547,,
2018-09-17,SELL,NIF100BEES.NS,3730,121.68,453866.4,226.93320000000003,453829.48277499975,120.81,0.72
2018-09-17,BUY,INFRABEES.NS,1366,331.95,453443.7,226.72185000000002,159.06092499976512,,
2018-09-24,SELL,NIFTYBEES.NS,3766,114.8,432336.8,216.1684,432279.69252499973,119.65,-4.053
2018-09-24,SELL,INFRABEES.NS,1366,315.0,430290.0,215.145,862354.5475249997,331.95,-5.106
2018-09-24,BUY,NIF100BEES.NS,3701,116.44,430944.44,215.47222,431194.6353049997,,
2018-09-24,BUY,CPSEETF.NS,15973,26.98,430951.54,215.47576999999998,27.619534999714233,,
2018-10-01,SELL,NIF100BEES.NS,3701,115.39,427058.39,213.52919500000002,426872.4803399997,116.44,-0.902
2018-10-01,SELL,CPSEETF.NS,15973,26.96,430632.08,215.31604000000002,857289.2442999997,26.98,-0.074
2018-10-01,BUY,GOLDBEES.NS,15768,27.17,428416.56000000006,214.20828000000003,428658.4760199996,,
2018-10-01,BUY,LIQUIDBEES.NS,428,999.99,427995.72000000003,213.99786000000003,448.75815999956103,,
2018-11-05,SELL,LIQUIDBEES.NS,428,999.99,427995.72000000003,213.99786000000003,428230.4802999996,999.99,0.0
2018-11-05,BUY,INFRABEES.NS,1373,311.7,427964.1,213.98205,52.39824999962002,,
2018-11-12,SELL,INFRABEES.NS,1373,311.0,427003.0,213.5015,426841.8967499996,311.7,-0.225
