date,action,ticker,units,price,gross,cost,cash_after
2018-01-01,BUY,MOM100.NS,9169,21.8,199884.2,99.94210000000001,800015.8579
2018-01-01,BUY,JUNIORBEES.NS,633,315.5,199711.5,99.85575,600204.50215
2018-01-01,BUY,HNGSNGBEES.NS,701,285.0,199785.0,99.8925,400319.60965
2018-01-01,BUY,MON100.NS,4130,48.4,199892.0,99.946,200327.66365
2018-01-01,BUY,INFRABEES.NS,537,371.7,199602.9,99.80145,624.962200000009
2018-01-08,SELL,MON100.NS,4130,48.0,198240.0,99.12,198765.8422
2018-01-08,BUY,CPSEETF.NS,6452,30.79,198657.08,99.32853999999999,9.433660000038799
2018-01-22,SELL,INFRABEES.NS,537,373.73,200693.01,100.34650500000001,200602.09715500005
2018-01-22,BUY,MON100.NS,4043,49.59,200492.37000000002,100.24618500000001,9.480970000033267
2018-01-29,SELL,MON100.NS,4043,52.1,210640.30000000002,105.32015000000001,210544.46082000004
2018-01-29,BUY,NIF100BEES.NS,1798,116.98,210330.04,105.16502000000001,109.25580000004265
2018-02-05,SELL,NIF100BEES.NS,1798,112.16,201663.68,100.83184,201672.10396000004
2018-02-05,SELL,JUNIORBEES.NS,633,300.78,190393.74,95.19687,391970.64709
2018-02-05,BUY,MON100.NS,3983,49.18,195883.94,97.94197,195988.76511999997
2018-02-05,BUY,DIVOPPBEES.NS,6708,29.2,195873.6,97.9368,17.228319999965606
2018-02-26,SELL,HNGSNGBEES.NS,701,306.3,214716.30000000002,107.35815000000001,214626.17017
2018-02-26,BUY,JUNIORBEES.NS,710,301.76,214249.6,107.12480000000001,269.4453700000013
2018-03-05,SELL,DIVOPPBEES.NS,6708,28.65,192184.19999999998,96.09209999999999,192357.55326999997
2018-03-05,SELL,JUNIORBEES.NS,710,295.76,209989.6,104.99480000000001,402242.15847
2018-03-05,BUY,HNGSNGBEES.NS,620,324.0,200880.0,100.44,201261.71847000002
2018-03-05,BUY,NIF100BEES.NS,1828,109.93,200952.04,100.47602,209.2024500000116
2018-03-12,SELL,NIF100BEES.NS,1828,109.24,199690.72,99.84536,199800.07709
2018-03-12,BUY,DIVOPPBEES.NS,6946,28.75,199697.5,99.84875,2.728340000001481
2018-03-19,SELL,CPSEETF.NS,6452,27.89,179946.28,89.97314,179859.0352
2018-03-19,BUY,NIFTYBEES.NS,1715,104.77,179680.55,89.84027499999999,88.64492500002962
2018-03-26,SELL,NIFTYBEES.NS,1715,104.71,179577.65,89.788825,179576.50610000003
2018-03-26,BUY,GOLDBEES.NS,6517,27.54,179478.18,89.73909,8.587010000046575
2018-04-09,SELL,DIVOPPBEES.NS,6946,28.69,199280.74000000002,99.64037000000002,199189.68664000006
2018-04-09,SELL,GOLDBEES.NS,6517,27.38,178435.46,89.21773,377535.92891
2018-04-09,BUY,JUNIORBEES.NS,614,307.03,188516.41999999998,94.25820999999999,188925.25070000003
2018-04-09,BUY,NIFTYBEES.NS,1757,107.36,188631.52,94.31576,199.41494000004604
2018-04-16,SELL,NIFTYBEES.NS,1757,108.94,191407.58,95.70379,191511.29115000003
2018-04-16,BUY,DIVOPPBEES.NS,6600,29.0,191400.0,95.7,15.591150000022026
2018-04-23,SELL,MOM100.NS,9169,20.66,189431.54,94.71577,189352.41538000002
2018-04-23,BUY,NIFTYBEES.NS,1728,109.47,189164.16,94.58208,93.67330000002403
2018-04-30,SELL,NIFTYBEES.NS,1728,111.17,192101.76,96.05088,192099.38242000004
2018-04-30,SELL,HNGSNGBEES.NS,620,360.0,223200.0,111.60000000000001,415187.78242000006
2018-04-30,BUY,MOM100.NS,10018,20.71,207472.78,103.73639,207611.26603000006
2018-04-30,BUY,GOLDBEES.NS,7477,27.75,207486.75,103.743375,20.772655000066152
2018-05-07,SELL,JUNIORBEES.NS,614,305.34,187478.75999999998,93.73938,187405.79327500003
2018-05-07,BUY,HNGSNGBEES.NS,553,338.17,187008.01,93.504005,304.2792700000282
2018-05-14,SELL,MOM100.NS,10018,20.7,207372.6,103.6863,207573.19297000003
2018-05-14,SELL,HNGSNGBEES.NS,553,353.9,195706.69999999998,97.85334999999999,403182.03962000005
2018-05-14,BUY,NIFTYBEES.NS,1804,111.69,201488.76,100.74438,201592.53524000006
2018-05-14,BUY,BANKBEES.NS,750,268.39,201292.5,100.64625000000001,199.38899000006495
2018-05-21,SELL,BANKBEES.NS,750,260.62,195465.0,97.7325,195566.65649000005
2018-05-21,BUY,HNGSNGBEES.NS,542,360.0,195120.0,97.56,349.0964900000545
2018-06-18,SELL,DIVOPPBEES.NS,6600,29.59,195294.0,97.647,195545.44949000006
2018-06-18,BUY,BANKBEES.NS,725,269.26,195213.5,97.60675,234.34274000005098
2018-07-16,SELL,GOLDBEES.NS,7477,27.0,201879.0,100.9395,202012.40324000004
2018-07-16,BUY,NIF100BEES.NS,1757,114.87,201826.59,100.913295,84.89994500004104
2018-08-06,SELL,BANKBEES.NS,725,284.67,206385.75,103.192875,206367.45707000003
