date,action,ticker,units,price,gross,cost,cash_after
2018-01-01,BUY,MON100.NS,6883,48.4,333137.2,166.5686,666696.2313999999
2018-01-01,BUY,PSUBNKBEES.NS,8108,41.09,333157.72000000003,166.57886000000002,333371.9325399999
2018-01-01,BUY,HNGSNGBEES.NS,1169,285.0,333165.0,166.5825,40.35003999987384
2018-01-08,SELL,PSUBNKBEES.NS,8108,41.0,332428.0,166.214,332302.1360399999
2018-01-08,BUY,MOM100.NS,14586,22.77,332123.22,166.06161,12.85442999994848
2018-01-15,SELL,HNGSNGBEES.NS,1169,301.5,352453.5,176.22675,352290.12768
2018-01-15,BUY,PSUBNKBEES.NS,8649,40.71,352100.79,176.05039499999998,13.287284999969415
2018-02-05,SELL,PSUBNKBEES.NS,8649,39.19,338954.31,169.477155,338798.12013
2018-02-05,BUY,HNGSNGBEES.NS,1018,332.5,338485.0,169.2425,143.87763000000268
2018-02-26,SELL,HNGSNGBEES.NS,1018,306.3,311813.4,155.9067,311801.37093000003
2018-02-26,BUY,GOLDBEES.NS,11349,27.46,311643.54000000004,155.82177000000001,2.0091600000159815
2018-03-05,SELL,MOM100.NS,14586,20.74,302513.63999999996,151.25681999999998,302364.39233999996
2018-03-05,SELL,GOLDBEES.NS,11349,27.4,310962.6,155.4813,613171.51104
2018-03-05,BUY,HNGSNGBEES.NS,945,324.0,306180.0,153.09,306838.42104
2018-03-05,BUY,DIVOPPBEES.NS,10695,28.65,306411.75,153.205875,273.46516500000143
2018-03-12,SELL,DIVOPPBEES.NS,10695,28.75,307481.25,153.740625,307600.97454
2018-03-12,BUY,GOLDBEES.NS,11303,27.2,307441.6,153.7208,5.653740000037942
2018-03-19,SELL,GOLDBEES.NS,11303,27.04,305633.12,152.81656,305485.95718
2018-03-19,BUY,DIVOPPBEES.NS,10177,30.0,305310.0,152.655,23.30217999999877
2018-03-26,SELL,DIVOPPBEES.NS,10177,27.66,281495.82,140.74791000000002,281378.37427000003
2018-03-26,BUY,GOLDBEES.NS,10211,27.54,281210.94,140.60547,26.82880000001751
2018-04-09,SELL,HNGSNGBEES.NS,945,353.3,333868.5,166.93425,333728.39455
2018-04-09,BUY,DIVOPPBEES.NS,11626,28.69,333549.94,166.77497,11.67957999999635
2018-04-16,SELL,DIVOPPBEES.NS,11626,29.0,337154.0,168.577,336997.10258
2018-04-16,BUY,HNGSNGBEES.NS,974,345.6,336614.4,168.30720000000002,214.39538000000175
2018-05-14,SELL,HNGSNGBEES.NS,974,353.9,344698.6,172.3493,344740.64608
2018-05-14,BUY,DIVOPPBEES.NS,11636,29.61,344541.96,172.27098,26.415099999983795
2018-05-21,SELL,DIVOPPBEES.NS,11636,29.3,340934.8,170.4674,340790.74769999995
2018-05-21,BUY,HNGSNGBEES.NS,946,360.0,340560.0,170.28,60.467699999921024
2018-06-04,SELL,GOLDBEES.NS,10211,27.53,281108.83,140.554415,281028.7432849999
2018-06-04,BUY,BANKBEES.NS,1050,267.4,280770.0,140.385,118.35828499990748
2018-06-25,SELL,HNGSNGBEES.NS,946,319.43,302180.78,151.09039,302148.0478949999
2018-06-25,BUY,NIFTYBEES.NS,2700,111.84,301968.0,150.984,29.06389499991201
2018-08-06,SELL,NIFTYBEES.NS,2700,118.74,320598.0,160.299,320466.7648949999
2018-08-06,BUY,PSUBNKBEES.NS,8659,36.99,320296.41000000003,160.14820500000002,10.206689999904484
2018-08-27,SELL,BANKBEES.NS,1050,288.35,302767.5,151.38375,302626.3229399999
2018-08-27,BUY,NIFTYBEES.NS,2483,121.79,302404.57,151.20228500000002,70.55065499991179
2018-09-03,SELL,NIFTYBEES.NS,2483,120.77,299871.91,149.93595499999998,299792.5246999999
2018-09-03,BUY,NIF100BEES.NS,2466,121.5,299619.0,149.8095,23.715199999918696
2018-09-10,SELL,NIF100BEES.NS,2466,120.81,297917.46,148.95873,297792.2164699999
2018-09-10,BUY,NIFTYBEES.NS,2487,119.65,297569.55,148.784775,73.88169499993091
2018-09-17,SELL,PSUBNKBEES.NS,8659,34.0,294406.0,147.203,294332.67869499995
2018-09-17,BUY,NIF100BEES.NS,2417,121.68,294100.56,147.05028000000001,85.06841499992879
2018-10-01,SELL,NIF100BEES.NS,2417,115.39,278897.63,139.448815,278843.2495999999
2018-10-01,BUY,DIVOPPBEES.NS,9155,30.44,278678.2,139.3391,25.710499999928288
2018-10-08,SELL,NIFTYBEES.NS,2487,108.05,268720.35,134.360175,268611.7003249999
2018-10-08,SELL,DIVOPPBEES.NS,9155,28.2,258171.0,129.0855,526653.6148249999
