date,action,ticker,units,price,gross,cost,cash_after
2018-01-01,BUY,MON100.NS,6883,48.4,333137.2,166.5686,666696.2313999999
2018-01-01,BUY,PSUBNKBEES.NS,8108,41.09,333157.72000000003,166.57886000000002,333371.9325399999
2018-01-01,BUY,HNGSNGBEES.NS,1169,285.0,333165.0,166.5825,40.35003999987384
2018-01-08,SELL,HNGSNGBEES.NS,1169,299.97,350664.93000000005,175.33246500000004,350529.94757499994
2018-01-08,BUY,MOM100.NS,15386,22.77,350339.22,175.16960999999998,15.557964999985415
2018-02-05,SELL,PSUBNKBEES.NS,8108,39.19,317752.51999999996,158.87625999999997,317609.20170499996
2018-02-05,BUY,HNGSNGBEES.NS,954,332.5,317205.0,158.6025,245.5992049999768
2018-02-26,SELL,HNGSNGBEES.NS,954,306.3,292210.2,146.10510000000002,292309.694105
2018-02-26,BUY,DIVOPPBEES.NS,9978,29.28,292155.84,146.07792,7.776184999966063
2018-03-05,SELL,MOM100.NS,15386,20.74,319105.63999999996,159.55281999999997,318953.86336499994
2018-03-05,BUY,HNGSNGBEES.NS,983,324.0,318492.0,159.246,302.6173649999546
2018-03-12,SELL,DIVOPPBEES.NS,9978,28.75,286867.5,143.43375,287026.6836149999
2018-03-12,BUY,GOLDBEES.NS,10547,27.2,286878.39999999997,143.4392,4.844414999941364
2018-03-19,SELL,GOLDBEES.NS,10547,27.04,285190.88,142.59544,285053.12897499994
2018-03-19,BUY,DIVOPPBEES.NS,9497,30.0,284910.0,142.455,0.6739749999251217
2018-03-26,SELL,DIVOPPBEES.NS,9497,27.66,262687.02,131.34351,262556.35046499997
2018-03-26,BUY,GOLDBEES.NS,9528,27.54,262401.12,131.20056,24.029904999944847
2018-04-02,SELL,HNGSNGBEES.NS,983,350.0,344050.0,172.025,343902.0049049999
2018-04-02,BUY,DIVOPPBEES.NS,12184,28.21,343710.64,171.85532,19.509584999934305
2018-04-09,SELL,DIVOPPBEES.NS,12184,28.69,349558.96,174.77948,349403.6901049999
2018-04-09,BUY,HNGSNGBEES.NS,988,353.3,349060.4,174.5302,168.75990499992622
2018-05-07,SELL,MON100.NS,6883,47.45,326598.35000000003,163.29917500000002,326603.81072999997
2018-05-07,BUY,DIVOPPBEES.NS,11084,29.45,326423.8,163.21189999999999,16.798829999985173
2018-05-14,SELL,HNGSNGBEES.NS,988,353.9,349653.19999999995,174.82659999999998,349495.17222999997
2018-05-14,SELL,DIVOPPBEES.NS,11084,29.61,328197.24,164.09862,677528.31361
2018-05-14,BUY,LIQUIDBEES.NS,338,1000.0,338000.0,169.0,339359.31360999995
2018-05-14,BUY,MON100.NS,6639,51.0,338589.0,169.2945,601.0191099999356
2018-05-21,SELL,LIQUIDBEES.NS,338,1000.0,338000.0,169.0,338432.01910999994
2018-05-21,BUY,HNGSNGBEES.NS,939,360.0,338040.0,169.02,222.99910999991698
2018-06-04,SELL,GOLDBEES.NS,9528,27.53,262305.84,131.15292000000002,262397.6861899999
2018-06-04,BUY,BANKBEES.NS,980,267.4,262051.99999999997,131.02599999999998,214.66018999996595
2018-06-25,SELL,HNGSNGBEES.NS,939,319.43,299944.77,149.972385,300009.457805
2018-06-25,BUY,NIFTYBEES.NS,2681,111.84,299843.04000000004,149.92152000000002,16.49628500000108
2018-07-30,SELL,NIFTYBEES.NS,2681,117.74,315660.94,157.83047,315519.605815
2018-07-30,BUY,PSUBNKBEES.NS,8779,35.92,315341.68,157.67084,20.254975000047125
2018-08-20,SELL,BANKBEES.NS,980,288.34,282573.19999999995,141.2866,282452.168375
2018-08-20,BUY,NIFTYBEES.NS,2347,120.27,282273.69,141.136845,37.341530000034254
2018-09-10,SELL,PSUBNKBEES.NS,8779,34.13,299627.27,149.813635,299514.797895
2018-09-10,BUY,NIF100BEES.NS,2477,120.81,299246.37,149.623185,118.80471000005491
2018-10-01,SELL,NIF100BEES.NS,2477,115.39,285821.03,142.910515,285796.9241950001
2018-10-01,BUY,DIVOPPBEES.NS,9384,30.44,285648.96,142.82448000000002,5.13971500005573
2018-10-08,SELL,DIVOPPBEES.NS,9384,28.2,264628.8,132.3144,264501.62531500007
2018-10-08,SELL,NIFTYBEES.NS,2347,108.05,253593.35,126.79667500000001,517968.17864000006
2018-10-08,BUY,HNGSNGBEES.NS,854,302.93,258702.22,129.35111,259136.60753000007
2018-10-08,BUY,GOLDBEES.NS,9331,27.74,258841.93999999997,129.42096999999998,165.2465600000869
2018-10-15,SELL,HNGSNGBEES.NS,854,315.5,269437.0,134.7185,269467.52806000004
