date,action,ticker,units,price,gross,cost,cash_after
2018-01-01,BUY,MON100.NS,4130,48.4,199892.0,99.946,800008.054
2018-01-01,BUY,MOM100.NS,9169,21.8,199884.2,99.94210000000001,600023.9119
2018-01-01,BUY,JUNIORBEES.NS,633,315.5,199711.5,99.85575,400212.55614999996
2018-01-01,BUY,INFRABEES.NS,537,371.7,199602.9,99.80145,200509.85469999997
2018-01-01,BUY,CPSEETF.NS,6630,30.15,199894.5,99.94725,515.4074499999697
2018-01-22,SELL,CPSEETF.NS,6630,30.31,200955.3,100.47765,201370.22979999997
2018-01-22,SELL,INFRABEES.NS,537,373.73,200693.01,100.34650500000001,401962.89329499996
2018-01-22,BUY,BANKBEES.NS,732,274.16,200685.12000000002,100.34256000000002,201177.43073499994
2018-01-22,BUY,NIFTYBEES.NS,1779,112.88,200813.52,100.40675999999999,263.5039749999414
2018-01-29,SELL,JUNIORBEES.NS,633,314.21,198894.93,99.447465,199058.98650999993
2018-01-29,BUY,CPSEETF.NS,6415,31.01,198929.15000000002,99.46457500000001,30.37193499991554
2018-02-05,SELL,CPSEETF.NS,6415,29.68,190397.2,95.19860000000001,190332.37333499992
2018-02-05,BUY,GOLDBEES.NS,6999,27.18,190232.82,95.11641,4.436924999929033
2018-02-12,SELL,BANKBEES.NS,732,261.59,191483.87999999998,95.74193999999999,191392.5749849999
2018-02-12,BUY,CPSEETF.NS,6382,29.97,191268.53999999998,95.63426999999999,28.400714999908814
2018-03-05,SELL,MOM100.NS,9169,20.74,190165.06,95.08253,190098.3781849999
2018-03-05,BUY,LIQUIDBEES.NS,190,1000.0,190000.0,95.0,3.3781849998922553
2018-03-12,SELL,CPSEETF.NS,6382,28.98,184950.36000000002,92.47518000000001,184861.2630049999
2018-03-12,BUY,MOM100.NS,9017,20.49,184758.33,92.379165,10.553839999920456
2018-03-26,SELL,MOM100.NS,9017,20.22,182323.74,91.16187,182243.1319699999
2018-03-26,BUY,JUNIORBEES.NS,626,290.71,181984.46,90.99222999999999,167.679739999905
2018-05-07,SELL,MON100.NS,4130,47.45,195968.5,97.98425,196038.1954899999
2018-05-07,BUY,BANKBEES.NS,749,261.4,195788.59999999998,97.89429999999999,151.70118999990518
2018-05-14,SELL,JUNIORBEES.NS,626,298.62,186936.12,93.46806,186994.3531299999
2018-05-14,BUY,MON100.NS,3664,51.0,186864.0,93.432,36.921129999886034
2018-07-30,SELL,GOLDBEES.NS,6999,26.6,186173.40000000002,93.08670000000001,186117.2344299999
2018-07-30,SELL,LIQUIDBEES.NS,190,1000.0,190000.0,95.0,376022.2344299999
2018-07-30,BUY,PSUBNKBEES.NS,5231,35.92,187897.52000000002,93.94876000000001,188030.76566999988
2018-07-30,BUY,JUNIORBEES.NS,620,302.7,187674.0,93.837,262.92866999987746
2018-08-06,SELL,MON100.NS,3664,58.37,213867.68,106.93384,214023.67482999986
2018-08-06,BUY,MOM100.NS,10210,20.95,213899.5,106.94975000000001,17.22507999985828
2018-09-24,SELL,BANKBEES.NS,749,254.18,190380.82,95.19041,190302.85466999986
2018-09-24,SELL,PSUBNKBEES.NS,5231,30.46,159336.26,79.66813,349559.44653999986
2018-09-24,SELL,JUNIORBEES.NS,620,285.93,177276.6,88.6383,526747.4082399999
2018-09-24,BUY,CPSEETF.NS,6504,26.98,175477.92,87.73896,351181.7492799999
2018-09-24,BUY,GOLDBEES.NS,6418,27.34,175468.12,87.73406,175625.8952199999
2018-09-24,BUY,LIQUIDBEES.NS,175,1000.0,175000.0,87.5,538.3952199998894
2018-10-01,SELL,MOM100.NS,10210,18.76,191539.6,95.7698,191982.2254199999
2018-10-01,BUY,BANKBEES.NS,742,258.31,191666.02,95.83301,220.37240999989444
2018-10-08,SELL,CPSEETF.NS,6504,24.04,156356.16,78.17808000000001,156498.3543299999
2018-10-08,BUY,MOM100.NS,8459,18.49,156406.90999999997,78.20345499999999,13.24087499990128
2018-10-15,SELL,MOM100.NS,8459,18.8,159029.2,79.5146,158962.92627499992
2018-10-15,BUY,CPSEETF.NS,6277,25.31,158870.87,79.435435,12.620839999930467
2018-10-22,SELL,CPSEETF.NS,6277,24.73,155230.21,77.615105,155165.21573499992
2018-10-22,BUY,MOM100.NS,8119,19.1,155072.90000000002,77.53645000000002,14.779284999880474
2018-10-29,SELL,NIFTYBEES.NS,1779,107.17,190655.43,95.327715,190574.88156999988
2018-10-29,BUY,CPSEETF.NS,7537,25.27,190459.99,95.229995,19.661574999889126
2018-11-05,SELL,CPSEETF.NS,7537,24.92,187822.04,93.91102000000001,187747.7905549999
2018-11-05,SELL,MOM100.NS,8119,19.44,157833.36000000002,78.91668000000001,345502.2338749999
2018-11-05,BUY,PSUBNKBEES.NS,5196,33.23,172663.08,86.33153999999999,172752.82233499992
2018-11-05,BUY,INFRABEES.NS,553,311.7,172370.1,86.18505,296.5372849999112
2018-11-12,SELL,BANKBEES.NS,742,260.83,193535.86,96.76792999999999,193735.6293549999
2018-11-12,BUY,MOM100.NS,9829,19.7,193631.3,96.81564999999999,7.513704999902984
2018-11-19,SELL,MOM100.NS,9829,19.21,188815.09,94.407545,188728.1961599999
2018-11-19,BUY,BANKBEES.NS,701,268.78,188414.77999999997,94.20738999999999,219.20876999993925
2018-12-03,SELL,GOLDBEES.NS,6418,27.26,174954.68000000002,87.47734000000001,175086.41142999995
2018-12-03,BUY,NIFTYBEES.NS,1537,113.8,174910.6,87.45530000000001,88.35612999994191
2018-12-10,SELL,PSUBNKBEES.NS,5196,31.19,162063.24000000002,81.03162000000002,162070.56450999997
2018-12-10,BUY,GOLDBEES.NS,5764,28.1,161968.4,80.9842,21.180309999966994
2018-12-17,SELL,NIFTYBEES.NS,1537,113.64,174664.68,87.33234,174598.52796999997
2018-12-17,BUY,PSUBNKBEES.NS,5312,32.85,174499.2,87.2496,12.078369999944698
2018-12-31,SELL,LIQUIDBEES.NS,175,999.99,174998.25,87.499125,174922.82924499994
2018-12-31,BUY,JUNIORBEES.NS,601,290.77,174752.77,87.376385,82.6828599999426
2019-01-07,SELL,JUNIORBEES.NS,601,285.5,171585.5,85.79275,171582.39010999995
2019-01-07,BUY,LIQUIDBEES.NS,171,999.99,170998.29,85.49914500000001,498.60096499993233
2019-01-21,SELL,INFRABEES.NS,553,312.97,173072.41,86.53620500000001,173484.47475999992
2019-01-21,BUY,NIFTYBEES.NS,1514,114.48,173322.72,86.66136,75.09339999992517
2019-02-18,SELL,PSUBNKBEES.NS,5312,29.51,156757.12,78.37856,156753.8348399999
2019-02-18,BUY,INFRABEES.NS,534,293.16,156547.44,78.27372,128.12111999990884
2019-02-25,SELL,INFRABEES.NS,534,296.58,158373.72,79.18686,158422.65425999992
2019-02-25,BUY,CPSEETF.NS,6667,23.75,158341.25,79.170625,2.2336349999241065
2019-03-11,SELL,GOLDBEES.NS,5764,28.5,164274.0,82.137,164194.09663499994
2019-03-11,SELL,LIQUIDBEES.NS,171,999.99,170998.29,85.49914500000001,335106.88748999994
2019-03-11,BUY,PSUBNKBEES.NS,5044,33.2,167460.80000000002,83.73040000000002,167562.35708999992
2019-03-11,BUY,JUNIORBEES.NS,578,289.72,167458.16,83.72908000000001,20.468009999924107
2019-03-18,SELL,JUNIORBEES.NS,578,288.6,166810.80000000002,83.40540000000001,166747.86260999995
2019-03-18,BUY,INFRABEES.NS,511,325.88,166524.68,83.26234,139.92026999997324
2019-04-22,SELL,INFRABEES.NS,511,325.0,166075.0,83.03750000000001,166131.88276999997
2019-04-22,BUY,MON100.NS,3129,53.06,166024.74000000002,83.01237000000002,24.130399999936344
2019-05-06,SELL,PSUBNKBEES.NS,5044,33.7,169982.80000000002,84.99140000000001,169921.93899999995
2019-05-06,BUY,INFRABEES.NS,530,320.36,169790.80000000002,84.89540000000001,46.24359999992885
2019-05-13,SELL,INFRABEES.NS,530,304.64,161459.19999999998,80.72959999999999,161424.71399999992
2019-05-13,BUY,PSUBNKBEES.NS,5075,31.79,161334.25,80.667125,9.796874999912689
2019-05-20,SELL,PSUBNKBEES.NS,5075,35.13,178284.75,89.142375,178205.40449999992
2019-05-20,BUY,DIVOPPBEES.NS,5837,30.51,178086.87,89.043435,29.491064999921946
2019-05-27,SELL,DIVOPPBEES.NS,5837,30.45,177736.65,88.868325,177677.27273999993
2019-05-27,SELL,MON100.NS,3129,50.47,157920.63,78.96031500000001,335518.9424249999
2019-05-27,BUY,PSUBNKBEES.NS,4480,37.42,167641.6,83.8208,167793.5216249999
2019-05-27,BUY,INFRABEES.NS,483,346.48,167349.84,83.67492,360.00670499991975
2019-06-10,SELL,PSUBNKBEES.NS,4480,33.83,151558.4,75.7792,151842.62750499992
2019-06-10,BUY,NIF100BEES.NS,1229,123.39,151646.31,75.823155,120.49434999993537
2019-06-24,SELL,NIF100BEES.NS,1229,121.03,148745.87,74.372935,148791.99141499994
2019-06-24,BUY,MON100.NS,2784,53.4,148665.6,74.3328,52.05861499992898
2019-07-01,SELL,NIFTYBEES.NS,1514,124.93,189144.02000000002,94.57201,189101.50660499994
2019-07-01,BUY,PSUBNKBEES.NS,5346,35.35,188981.1,94.49055,25.916054999950575
2019-07-15,SELL,CPSEETF.NS,6667,25.97,173141.99,86.570995,173081.33505999995
2019-07-15,BUY,GOLDBEES.NS,5668,30.52,172987.36,86.49368,7.481379999953788
2019-07-22,SELL,PSUBNKBEES.NS,5346,33.08,176845.68,88.42284,176764.73853999993
2019-07-22,BUY,NIFTYBEES.NS,1473,119.9,176612.7,88.30635000000001,63.73218999992241
