ticker,entry_date,exit_date,holding_days,entry_price,exit_price,return_pct
SILVERBEES.NS,2026-03-16,2026-03-23,7,233.48,193.52,-17.198
GOLDBEES.NS,2026-03-16,2026-03-23,7,127.22,110.72,-13.057
HNGSNGBEES.NS,2018-06-11,2018-06-18,7,392.26,346.29,-11.808
PSUBNKBEES.NS,2019-04-01,2019-04-30,29,37.14,33.62,-9.568
PSUBNKBEES.NS,2023-09-18,2023-10-23,35,58.08,52.76,-9.251
PSUBNKBEES.NS,2022-09-12,2022-10-03,21,35.22,32.32,-8.326
PSUBNKBEES.NS,2026-03-02,2026-03-09,7,107.1,98.35,-8.262
PSUBNKBEES.NS,2018-06-18,2018-07-02,14,33.67,31.05,-7.874
HNGSNGBEES.NS,2020-03-09,2020-03-16,7,374.63,347.4,-7.361
MON100.NS,2020-02-10,2020-03-02,21,66.27,61.73,-6.944
PSUBNKBEES.NS,2022-01-31,2022-02-21,21,32.53,30.41,-6.61
PSUBNKBEES.NS,2022-04-11,2022-04-25,14,31.96,29.9,-6.539
HNGSNGBEES.NS,2018-01-29,2018-02-26,28,326.82,306.3,-6.372
PSUBNKBEES.NS,2018-11-05,2018-12-10,35,33.23,31.19,-6.233
CONSUMBEES.NS,2022-05-02,2022-05-09,7,76.7,72.22,-5.935
