date,action,ticker,units,price,gross,cost,cash_after
2018-01-01,BUY,MON100.NS,6883,48.4,333137.2,166.5686,666696.2313999999
2018-01-01,BUY,MOM100.NS,15282,21.8,333147.60000000003,166.57380000000003,333382.0575999999
2018-01-01,BUY,JUNIORBEES.NS,1055,315.5,332852.5,166.42625,363.13134999986505
2018-01-22,SELL,JUNIORBEES.NS,1055,320.11,337716.05,168.858025,337910.32332499983
2018-01-22,BUY,BANKBEES.NS,1231,274.16,337490.96,168.74548000000001,250.61784499982605
2018-02-05,SELL,BANKBEES.NS,1231,265.34,326633.54,163.31677,326720.84107499983
2018-02-05,BUY,NIFTYBEES.NS,2960,110.29,326458.4,163.22920000000002,99.21187499980442
2018-02-12,SELL,NIFTYBEES.NS,2960,109.14,323054.4,161.52720000000002,322992.0846749998
2018-02-12,BUY,GOLDBEES.NS,11956,27.0,322812.0,161.406,18.678674999799114
2018-03-05,SELL,MOM100.NS,15282,20.74,316948.68,158.47434,316808.8843349998
2018-03-05,BUY,NIFTYBEES.NS,2954,107.17,316580.18,158.29009,70.41424499975983
2018-03-12,SELL,NIFTYBEES.NS,2954,107.99,319002.45999999996,159.50123,318913.3730149997
2018-03-12,BUY,LIQUIDBEES.NS,318,999.99,317996.82,158.99841,757.554604999721
2018-04-09,SELL,LIQUIDBEES.NS,318,1000.0,318000.0,159.0,318598.5546049997
2018-04-09,BUY,JUNIORBEES.NS,1037,307.03,318390.11,159.195055,49.24954999971669
2018-04-23,SELL,JUNIORBEES.NS,1037,309.07,320505.58999999997,160.252795,320394.5867549997
2018-04-23,BUY,NIFTYBEES.NS,2925,109.47,320199.75,160.099875,34.736879999691155
2018-05-07,SELL,MON100.NS,6883,47.45,326598.35000000003,163.29917500000002,326469.78770499973
2018-05-07,BUY,BANKBEES.NS,1248,261.4,326227.19999999995,163.1136,79.47410499979742
2018-05-21,SELL,NIFTYBEES.NS,2925,109.05,318971.25,159.485625,318891.2384799998
2018-05-21,BUY,MON100.NS,5767,55.26,318684.42,159.34221,47.47626999986824
2018-06-04,SELL,GOLDBEES.NS,11956,27.53,329148.68,164.57434,329031.58192999987
2018-06-04,BUY,NIFTYBEES.NS,2986,110.12,328818.32,164.40916,48.852769999881275
2018-07-30,SELL,NIFTYBEES.NS,2986,117.74,351571.63999999996,175.78581999999997,351444.70694999985
2018-07-30,BUY,PSUBNKBEES.NS,9779,35.92,351261.68,175.63084,7.39610999985598
2018-08-06,SELL,MON100.NS,5767,58.37,336619.79,168.30989499999998,336458.8762149998
2018-08-06,BUY,NIFTYBEES.NS,2832,118.74,336271.68,168.13584,19.06037499982631
2018-09-03,SELL,BANKBEES.NS,1248,283.67,354020.16000000003,177.01008000000002,353862.2102949999
2018-09-03,BUY,JUNIORBEES.NS,1108,319.1,353562.80000000005,176.78140000000002,122.62889499985613
2018-09-24,SELL,JUNIORBEES.NS,1108,285.93,316810.44,158.40522,316774.66367499984
2018-09-24,SELL,PSUBNKBEES.NS,9779,30.46,297868.34,148.93417000000002,614494.0695049998
2018-09-24,BUY,CPSEETF.NS,11382,26.98,307086.36,153.54318,307254.1663249998
2018-09-24,BUY,GOLDBEES.NS,11232,27.34,307082.88,153.54144,17.74488499981817
2018-10-01,SELL,CPSEETF.NS,11382,26.96,306858.72000000003,153.42936000000003,306723.03552499984
2018-10-01,BUY,LIQUIDBEES.NS,306,999.99,305996.94,152.99847,573.0970549998456
2018-10-22,SELL,NIFTYBEES.NS,2832,107.15,303448.8,151.7244,303870.1726549998
2018-10-22,BUY,MOM100.NS,15901,19.1,303709.10000000003,151.85455000000002,9.218104999803472
2018-11-05,SELL,MOM100.NS,15901,19.44,309115.44,154.55772000000002,308970.1003849998
2018-11-05,BUY,INFRABEES.NS,990,311.7,308583.0,154.2915,232.8088849998312
2018-11-12,SELL,INFRABEES.NS,990,311.0,307890.0,153.945,307968.8638849998
2018-11-12,BUY,MOM100.NS,15625,19.7,307812.5,153.90625,2.457634999824222
2018-11-19,SELL,MOM100.NS,15625,19.21,300156.25,150.078125,300008.6295099998
2018-11-19,SELL,LIQUIDBEES.NS,306,1000.0,306000.0,153.0,605855.6295099999
2018-11-19,BUY,PSUBNKBEES.NS,9103,33.26,302765.77999999997,151.38288999999997,302938.4666199999
2018-11-19,BUY,INFRABEES.NS,937,323.01,302660.37,151.330185,126.76643499988131
2018-11-26,SELL,PSUBNKBEES.NS,9103,32.72,297850.16,148.92507999999998,297828.00135499984
2018-11-26,BUY,LIQUIDBEES.NS,297,999.99,296997.03,148.49851500000003,682.4728399998276
2018-12-03,SELL,GOLDBEES.NS,11232,27.26,306184.32,153.09216,306713.70067999983
2018-12-03,BUY,BANKBEES.NS,1118,273.97,306298.46,153.14923000000002,262.09144999983255
2018-12-10,SELL,INFRABEES.NS,937,306.22,286928.14,143.46407000000002,287046.76737999986
2018-12-10,BUY,GOLDBEES.NS,10210,28.1,286901.0,143.4505,2.316879999882076
2018-12-17,SELL,LIQUIDBEES.NS,297,1000.0,297000.0,148.5,296853.8168799999
2018-12-17,BUY,INFRABEES.NS,938,316.23,296623.74,148.31187,81.76500999991549
2018-12-24,SELL,GOLDBEES.NS,10210,27.88,284654.8,142.32739999999998,284594.2376099999
2018-12-24,BUY,PSUBNKBEES.NS,8460,33.62,284425.19999999995,142.21259999999998,26.825009999913163
2019-01-07,SELL,INFRABEES.NS,938,318.28,298546.63999999996,149.27331999999998,298424.1916899999
2019-01-07,BUY,GOLDBEES.NS,10569,28.22,298257.18,149.12859,17.883099999919068
2019-01-28,SELL,PSUBNKBEES.NS,8460,32.05,271143.0,135.57150000000001,271025.3115999999
2019-01-28,BUY,LIQUIDBEES.NS,270,999.99,269997.3,134.99865,893.0129499998875
2019-02-04,SELL,LIQUIDBEES.NS,270,999.99,269997.3,134.99865,270755.31429999985
2019-02-04,BUY,NIFTYBEES.NS,2367,114.3,270548.1,135.27405,71.94024999986868
2019-03-05,SELL,NIFTYBEES.NS,2367,114.89,271944.63,135.972315,271880.59793499985
2019-03-05,BUY,CPSEETF.NS,10549,25.76,271742.24,135.87112,2.486814999836497
2019-03-11,SELL,GOLDBEES.NS,10569,28.5,301216.5,150.60825,301068.37856499985
