date,action,ticker,units,price,gross,cost,cash_after
2018-01-01,BUY,MON100.NS,6883,48.4,333137.2,166.5686,666696.2313999999
2018-01-01,BUY,MOM100.NS,15282,21.8,333147.60000000003,166.57380000000003,333382.0575999999
2018-01-01,BUY,NIF100BEES.NS,3003,110.94,333152.82,166.57641,62.66118999989703
2018-01-08,SELL,NIF100BEES.NS,3003,113.9,342041.7,171.02085,341933.34033999994
2018-01-08,BUY,INFRABEES.NS,901,379.0,341479.0,170.7395,283.60083999991184
2018-01-15,SELL,INFRABEES.NS,901,372.42,335550.42000000004,167.77521000000002,335666.24562999996
2018-01-15,SELL,MOM100.NS,15282,22.82,348735.24,174.36762,684227.11801
2018-01-15,BUY,HNGSNGBEES.NS,1134,301.5,341901.0,170.9505,342155.16751
2018-01-15,BUY,GOLDBEES.NS,12688,26.95,341941.6,170.9708,42.596710000012536
2018-01-22,SELL,GOLDBEES.NS,12688,26.9,341307.19999999995,170.65359999999998,341179.14310999995
2018-01-22,SELL,HNGSNGBEES.NS,1134,304.0,344736.0,172.368,685742.7751099999
2018-01-22,SELL,MON100.NS,6883,49.59,341327.97000000003,170.66398500000003,1026900.081125
2018-01-22,BUY,BANKBEES.NS,1247,274.16,341877.52,170.93876,684851.622365
2018-01-22,BUY,MOM100.NS,14817,23.09,342124.52999999997,171.062265,342556.0301
2018-01-22,BUY,NIFTYBEES.NS,3030,112.88,342026.39999999997,171.01319999999998,358.6169000000227
2018-01-29,SELL,MOM100.NS,14817,23.66,350570.22000000003,175.28511000000003,350753.55179000006
2018-01-29,BUY,HNGSNGBEES.NS,1072,326.82,350351.04,175.17552,227.3362700000871
2018-02-05,SELL,NIFTYBEES.NS,3030,110.29,334178.7,167.08935,334238.9469200001
2018-02-05,BUY,MON100.NS,6792,49.18,334030.56,167.01528,41.37164000008488
2018-02-12,SELL,BANKBEES.NS,1247,261.59,326202.73,163.101365,326081.00027500006
2018-02-12,BUY,GOLDBEES.NS,12071,27.0,325917.0,162.95850000000002,1.0417750000488013
2018-02-19,SELL,MON100.NS,6792,50.4,342316.8,171.1584,342146.683375
2018-02-19,BUY,LIQUIDBEES.NS,341,1000.0,341000.0,170.5,976.1833750000224
2018-02-26,SELL,HNGSNGBEES.NS,1072,306.3,328353.60000000003,164.17680000000001,329165.60657500004
2018-02-26,BUY,MON100.NS,6392,51.47,328996.24,164.49812,4.868455000047106
2018-03-05,SELL,GOLDBEES.NS,12071,27.4,330745.39999999997,165.37269999999998,330584.895755
2018-03-05,SELL,LIQUIDBEES.NS,341,1000.0,341000.0,170.5,671414.395755
2018-03-05,BUY,HNGSNGBEES.NS,1035,324.0,335340.0,167.67000000000002,335906.72575499996
2018-03-05,BUY,DIVOPPBEES.NS,11711,28.65,335520.14999999997,167.76007499999997,218.8156799999997
2018-03-12,SELL,DIVOPPBEES.NS,11711,28.75,336691.25,168.345625,336741.720055
2018-03-12,BUY,LIQUIDBEES.NS,336,999.99,335996.64,167.99832,577.0817349999561
2018-03-19,SELL,LIQUIDBEES.NS,336,1000.0,336000.0,168.0,336409.08173499996
2018-03-19,BUY,DIVOPPBEES.NS,11208,30.0,336240.0,168.12,0.9617349999607541
2018-03-26,SELL,DIVOPPBEES.NS,11208,27.66,310013.28,155.00664,309859.235095
2018-03-26,BUY,GOLDBEES.NS,11245,27.54,309687.3,154.84365,17.091445000027306
2018-04-02,SELL,GOLDBEES.NS,11245,27.45,308675.25,154.337625,308538.00382000004
2018-04-02,SELL,HNGSNGBEES.NS,1035,350.0,362250.0,181.125,670606.87882
2018-04-02,SELL,MON100.NS,6392,51.55,329507.6,164.75379999999998,999949.72502
2018-04-02,BUY,PSUBNKBEES.NS,10141,32.85,333131.85000000003,166.56592500000002,666651.3090949999
2018-04-02,BUY,JUNIORBEES.NS,1116,298.29,332891.64,166.44582,333593.2232749999
2018-04-02,BUY,NIF100BEES.NS,3061,108.81,333067.41000000003,166.53370500000003,359.2795699998387
2018-04-09,SELL,NIF100BEES.NS,3061,110.61,338577.21,169.28860500000002,338767.20096499985
2018-04-09,BUY,HNGSNGBEES.NS,958,353.3,338461.4,169.2307,136.57026499981293
2018-04-16,SELL,PSUBNKBEES.NS,10141,32.52,329785.32,164.89266,329756.9976049998
2018-04-16,SELL,HNGSNGBEES.NS,958,345.6,331084.80000000005,165.54240000000001,660676.2552049998
2018-04-16,BUY,NIF100BEES.NS,2962,111.44,330085.27999999997,165.04263999999998,330425.93256499985
2018-04-16,BUY,BANKBEES.NS,1285,256.75,329923.75,164.961875,337.22068999987096
2018-04-23,SELL,BANKBEES.NS,1285,252.85,324912.25,162.45612500000001,325087.01456499984
2018-04-23,SELL,NIF100BEES.NS,2962,112.99,334676.38,167.33819,659596.0563749999
2018-04-23,SELL,JUNIORBEES.NS,1116,309.07,344922.12,172.46106,1004345.7153149999
2018-04-23,BUY,HNGSNGBEES.NS,925,361.5,334387.5,167.19375,669791.021565
2018-04-23,BUY,DIVOPPBEES.NS,11157,29.99,334598.43,167.299215,335025.29234999995
2018-04-23,BUY,MON100.NS,6361,52.6,334588.60000000003,167.29430000000002,269.39804999990156
2018-04-30,SELL,HNGSNGBEES.NS,925,360.0,333000.0,166.5,333102.8980499999
2018-04-30,SELL,MON100.NS,6361,50.11,318749.71,159.37485500000003,651693.2331949999
2018-04-30,BUY,NIFTYBEES.NS,2929,111.17,325616.93,162.808465,325913.49472999986
2018-04-30,BUY,NIF100BEES.NS,2856,114.0,325584.0,162.792,166.70272999984445
2018-05-07,SELL,NIF100BEES.NS,2856,112.16,320328.95999999996,160.16448,320335.49824999983
2018-05-07,SELL,DIVOPPBEES.NS,11157,29.45,328573.64999999997,164.286825,648744.8614249998
2018-05-07,BUY,MOM100.NS,15505,20.91,324209.55,162.104775,324373.2066499998
2018-05-07,BUY,BANKBEES.NS,1240,261.4,324136.0,162.068,75.13864999974612
2018-05-14,SELL,MOM100.NS,15505,20.7,320953.5,160.47675,320868.1618999998
2018-05-14,BUY,NIF100BEES.NS,2818,113.8,320688.39999999997,160.34419999999997,19.41769999981625
2018-05-21,SELL,NIFTYBEES.NS,2929,109.05,319407.45,159.70372500000002,319267.1639749998
2018-05-21,SELL,NIF100BEES.NS,2818,111.69,314742.42,157.37121,633852.2127649998
