date,action,ticker,units,price,gross,cost,cash_after,entry_price,pct_from_entry
2018-01-29,BUY,BANKBEES.NS,1793,278.69,499691.17,249.845585,500058.984415,,
2018-01-29,BUY,MON100.NS,9592,52.1,499743.2,249.8716,65.91281499998877,,
2018-02-05,SELL,BANKBEES.NS,1793,265.34,475754.61999999994,237.87730999999997,475582.6555049999,278.69,-4.79
2018-02-05,BUY,GOLDBEES.NS,17488,27.18,475323.83999999997,237.66191999999998,21.15358499996364,,
2018-02-12,SELL,GOLDBEES.NS,17488,27.0,472176.0,236.088,471961.065585,27.18,-0.662
2018-02-12,BUY,LIQUIDBEES.NS,471,1000.0,471000.0,235.5,725.5655849999748,,
2018-02-19,SELL,MON100.NS,9592,50.4,483436.8,241.7184,483920.64718499995,52.1,-3.263
2018-02-19,BUY,GOLDBEES.NS,17543,27.57,483660.51,241.83025500000002,18.30692999996245,,
2018-02-26,SELL,GOLDBEES.NS,17543,27.46,481730.78,240.86539000000002,481508.22154,27.57,-0.399
2018-02-26,SELL,LIQUIDBEES.NS,471,999.99,470995.29,235.497645,952268.013895,1000.0,-0.001
2018-02-26,BUY,MON100.NS,9246,51.47,475891.62,237.94581,476138.448085,,
2018-02-26,BUY,DIVOPPBEES.NS,16253,29.28,475887.84,237.94392000000002,12.664164999965578,,
2018-03-12,SELL,DIVOPPBEES.NS,16253,28.75,467273.75,233.636875,467052.77728999994,29.28,-1.81
2018-03-12,BUY,LIQUIDBEES.NS,466,999.99,465995.34,232.99767000000003,824.4396199999028,,
2018-03-26,SELL,MON100.NS,9246,52.08,481531.68,240.76584,482115.3537799999,51.47,1.185
2018-03-26,BUY,GOLDBEES.NS,17497,27.54,481867.38,240.93369,7.04008999990765,,
2018-04-02,SELL,LIQUIDBEES.NS,466,1000.0,466000.0,233.0,465774.0400899999,999.99,0.001
2018-04-02,BUY,JUNIORBEES.NS,1560,298.29,465332.4,232.6662,208.97388999990653,,
2018-04-09,SELL,GOLDBEES.NS,17497,27.38,479067.86,239.53393,479037.2999599999,27.54,-0.581
2018-04-09,BUY,PSUBNKBEES.NS,14127,33.89,478764.03,239.38201500000002,33.88794499990763,,
2018-04-16,SELL,JUNIORBEES.NS,1560,308.11,480651.60000000003,240.32580000000002,480445.16214499995,298.29,3.292
2018-04-16,SELL,PSUBNKBEES.NS,14127,32.52,459410.04000000004,229.70502000000002,939625.497125,33.89,-4.042
2018-04-16,BUY,BANKBEES.NS,1828,256.75,469339.0,234.6695,470051.827625,,
2018-04-16,BUY,NIF100BEES.NS,4213,111.44,469496.72,234.74836,320.3592649999773,,
2018-04-23,SELL,BANKBEES.NS,1828,252.85,462209.8,231.1049,462299.054365,256.75,-1.519
2018-04-23,SELL,NIF100BEES.NS,4213,112.99,476026.87,238.01343500000002,938087.91093,111.44,1.391
2018-04-23,BUY,MON100.NS,8912,52.6,468771.2,234.3856,469082.32533,,
2018-04-23,BUY,INFRABEES.NS,1328,352.95,468717.6,234.3588,130.36653000005754,,
2018-04-30,SELL,MON100.NS,8912,50.11,446580.32,223.29016000000001,446487.3963700001,52.6,-4.734
2018-04-30,SELL,INFRABEES.NS,1328,357.49,474746.72000000003,237.37336000000002,920996.7430100001,352.95,1.286
2018-04-30,BUY,NIFTYBEES.NS,4140,111.17,460243.8,230.1219,460522.8211100001,,
2018-04-30,BUY,BANKBEES.NS,1771,259.83,460158.93,230.079465,133.81164500006707,,
2018-05-07,SELL,NIFTYBEES.NS,4140,110.72,458380.8,229.1904,458285.42124500003,111.17,-0.405
2018-05-07,BUY,MOM100.NS,21906,20.91,458054.46,229.02723,1.934015000006184,,
2018-05-14,SELL,MOM100.NS,21906,20.7,453454.2,226.7271,453229.406915,20.91,-1.004
2018-05-14,BUY,NIFTYBEES.NS,4055,111.69,452902.95,226.45147500000002,100.00543999997899,,
2018-05-21,SELL,BANKBEES.NS,1771,260.62,461558.02,230.77901000000003,461427.24643,259.83,0.304
2018-05-21,SELL,NIFTYBEES.NS,4055,109.05,442197.75,221.098875,903403.8975549999,111.69,-2.364
2018-05-21,BUY,MON100.NS,8170,55.26,451474.2,225.7371,451703.9604549999,,
2018-05-21,BUY,LIQUIDBEES.NS,451,1000.0,451000.0,225.5,478.4604549998767,,
2018-05-28,SELL,LIQUIDBEES.NS,451,1000.0,451000.0,225.5,451252.9604549999,1000.0,0.0
2018-05-28,BUY,PSUBNKBEES.NS,13447,33.54,451012.38,225.50619,15.074264999886509,,
2018-06-04,SELL,MON100.NS,8170,55.3,451801.0,225.9005,451590.1737649999,55.26,0.072
2018-06-04,BUY,HNGSNGBEES.NS,1223,368.82,451066.86,225.53343,297.78033499990124,,
2018-06-18,SELL,HNGSNGBEES.NS,1223,346.29,423512.67000000004,211.75633500000004,423598.69399999996,368.82,-6.109
2018-06-18,BUY,MON100.NS,7395,57.25,423363.75,211.681875,23.262124999950174,,
2018-06-25,SELL,PSUBNKBEES.NS,13447,32.16,432455.51999999996,216.22776,432262.55436499993,33.54,-4.114
2018-06-25,BUY,BANKBEES.NS,1593,271.13,431910.08999999997,215.95504499999998,136.50931999995373,,
2018-07-02,SELL,BANKBEES.NS,1593,266.26,424152.18,212.07609,424076.61322999996,271.13,-1.796
2018-07-02,SELL,MON100.NS,7395,56.14,415155.3,207.57765,839024.33558,57.25,-1.939
2018-07-02,BUY,LIQUIDBEES.NS,419,1000.0,419000.0,209.5,419814.83557999996,,
2018-07-02,BUY,NIF100BEES.NS,3734,112.28,419253.52,209.62676000000002,351.688819999923,,
2018-07-09,SELL,NIF100BEES.NS,3734,112.38,419626.92,209.81346,419768.79535999993,112.28,0.089
2018-07-09,SELL,LIQUIDBEES.NS,419,999.99,418995.81,209.497905,838555.1074549999,1000.0,-0.001
2018-07-09,BUY,NIFTYBEES.NS,3713,112.85,419012.05,209.506025,419333.55142999993,,
2018-07-09,BUY,BANKBEES.NS,1541,271.83,418890.02999999997,209.44501499999998,234.07641499995952,,
2018-07-16,SELL,NIFTYBEES.NS,3713,113.98,423207.74,211.60387,423230.21254499996,112.85,1.001
2018-07-16,SELL,BANKBEES.NS,1541,272.02,419182.81999999995,209.59140999999997,842203.441135,271.83,0.07
2018-07-16,BUY,MON100.NS,7197,58.48,420880.56,210.44028,421112.440855,,
2018-07-16,BUY,HNGSNGBEES.NS,1263,333.16,420781.08,210.39054000000002,120.97031499998411,,
2018-07-23,SELL,HNGSNGBEES.NS,1263,338.44,427449.72,213.72485999999998,427356.96545499994,333.16,1.585
2018-07-23,BUY,NIFTYBEES.NS,3703,115.34,427104.02,213.55201000000002,39.39344499993604,,
2018-07-30,SELL,NIFTYBEES.NS,3703,117.74,435991.22,217.99561,435812.6178349999,115.34,2.081
2018-07-30,SELL,MON100.NS,7197,60.58,435994.26,217.99713,871588.8807049999,58.48,3.591
2018-07-30,BUY,PSUBNKBEES.NS,12126,35.92,435565.92000000004,217.78296000000003,435805.1777449999,,
2018-07-30,BUY,JUNIORBEES.NS,1438,302.7,435282.6,217.6413,304.93644499988295,,
2018-08-06,SELL,JUNIORBEES.NS,1438,307.43,442084.34,221.04217000000003,442168.23427499994,302.7,1.563
