date,action,ticker,units,price,gross,cost,cash_after
2018-01-01,BUY,HNGSNGBEES.NS,1169,285.0,333165.0,166.5825,666668.4175
2018-01-01,BUY,JUNIORBEES.NS,1055,315.5,332852.5,166.42625,333649.49124999996
2018-01-01,BUY,MOM100.NS,15282,21.8,333147.60000000003,166.57380000000003,335.31744999991497
2018-01-22,SELL,JUNIORBEES.NS,1055,320.11,337716.05,168.858025,337882.5094249999
2018-01-22,BUY,MON100.NS,6810,49.59,337707.9,168.85395000000003,5.755474999838043
2018-01-29,SELL,MON100.NS,6810,52.1,354801.0,177.4005,354629.35497499985
2018-01-29,BUY,CPSEETF.NS,11430,31.01,354444.30000000005,177.22215000000003,7.832824999815784
2018-02-05,SELL,HNGSNGBEES.NS,1169,332.5,388692.5,194.34625,388505.9865749998
2018-02-05,BUY,MON100.NS,7895,49.18,388276.1,194.13805,35.74852499982808
2018-02-12,SELL,CPSEETF.NS,11430,29.97,342557.1,171.27855,342421.5699749998
2018-02-12,BUY,HNGSNGBEES.NS,1053,325.0,342225.0,171.1125,25.457474999828264
2018-02-19,SELL,MON100.NS,7895,50.4,397908.0,198.954,397734.5034749998
2018-02-19,BUY,CPSEETF.NS,13439,29.58,397525.62,198.76281,10.120664999820292
2018-02-26,SELL,HNGSNGBEES.NS,1053,306.3,322533.9,161.26695,322382.7537149998
2018-02-26,BUY,MON100.NS,6260,51.47,322202.2,161.1011,19.45261499978369
2018-03-05,SELL,MOM100.NS,15282,20.74,316948.68,158.47434,316809.65827499976
2018-03-05,BUY,HNGSNGBEES.NS,977,324.0,316548.0,158.274,103.3842749997857
2018-03-12,SELL,CPSEETF.NS,13439,28.98,389462.22000000003,194.73111000000003,389370.8731649998
2018-03-12,BUY,MOM100.NS,18993,20.49,389166.56999999995,194.583285,9.719879999873228
2018-04-09,SELL,MOM100.NS,18993,20.45,388406.85,194.20342499999998,388222.36645499984
2018-04-09,BUY,DIVOPPBEES.NS,13524,28.69,388003.56,194.00178,24.80467499984661
2018-04-23,SELL,DIVOPPBEES.NS,13524,29.99,405584.75999999995,202.79237999999998,405406.7722949998
2018-04-23,BUY,JUNIORBEES.NS,1311,309.07,405190.77,202.59538500000002,13.406909999786876
2018-04-30,SELL,JUNIORBEES.NS,1311,313.8,411391.8,205.6959,411199.5110099998
2018-04-30,BUY,DIVOPPBEES.NS,13699,30.0,410970.0,205.485,24.02600999979768
2018-05-07,SELL,DIVOPPBEES.NS,13699,29.45,403435.55,201.717775,403257.85823499976
2018-05-07,BUY,MOM100.NS,19275,20.91,403040.25,201.520125,16.08810999977868
2018-05-14,SELL,HNGSNGBEES.NS,977,353.9,345760.3,172.88015,345603.5079599998
2018-05-14,BUY,BANKBEES.NS,1287,268.39,345417.93,172.708965,12.868994999793358
2018-05-21,SELL,BANKBEES.NS,1287,260.62,335417.94,167.70897,335263.1000249998
2018-05-21,SELL,MOM100.NS,19275,20.35,392246.25,196.12312500000002,727313.2268999999
2018-05-21,BUY,HNGSNGBEES.NS,1009,360.0,363240.0,181.62,363891.6068999999
2018-05-21,BUY,GOLDBEES.NS,13164,27.61,363458.04,181.72902,251.83787999989
2018-06-04,SELL,GOLDBEES.NS,13164,27.53,362404.92000000004,181.20246000000003,362475.55541999993
2018-06-04,BUY,BANKBEES.NS,1354,267.4,362059.6,181.0298,234.92561999993632
2018-06-11,SELL,BANKBEES.NS,1354,269.42,364794.68,182.39734,364847.2082799999
2018-06-11,BUY,NIFTYBEES.NS,3248,112.25,364588.0,182.294,76.91427999990992
2018-06-18,SELL,NIFTYBEES.NS,3248,112.4,365075.2,182.5376,364969.57667999994
2018-06-18,BUY,DIVOPPBEES.NS,12328,29.59,364785.52,182.39276,1.663919999904465
2018-06-25,SELL,DIVOPPBEES.NS,12328,29.16,359484.48,179.74223999999998,359306.4016799999
2018-06-25,BUY,NIFTYBEES.NS,3211,111.84,359118.24,179.55912,8.602559999912046
2018-07-09,SELL,NIFTYBEES.NS,3211,112.85,362361.35,181.18067499999998,362188.7718849999
2018-07-09,BUY,GOLDBEES.NS,13231,27.36,362000.16,181.00008,7.611804999876767
2018-07-16,SELL,GOLDBEES.NS,13231,27.0,357237.0,178.6185,357065.9933049999
2018-07-16,BUY,NIFTYBEES.NS,3131,113.98,356871.38,178.43569,16.177614999876823
2018-08-06,SELL,NIFTYBEES.NS,3131,118.74,371774.94,185.88747,371605.23014499986
2018-08-06,BUY,BANKBEES.NS,1304,284.67,371209.68,185.60484,209.94530499988468
2018-08-20,SELL,BANKBEES.NS,1304,288.34,375995.36,187.99768,376017.3076249999
2018-08-20,BUY,NIFTYBEES.NS,3124,120.27,375723.48,187.86174,105.96588499989593
2018-09-03,SELL,HNGSNGBEES.NS,1009,342.5,345582.5,172.79125,345515.6746349999
2018-09-03,BUY,NIF100BEES.NS,2842,121.5,345303.0,172.6515,40.02313499990851
2018-09-10,SELL,NIF100BEES.NS,2842,120.81,343342.02,171.67101000000002,343210.37212499994
2018-09-10,BUY,HNGSNGBEES.NS,980,350.0,343000.0,171.5,38.872124999936204
2018-09-24,SELL,HNGSNGBEES.NS,980,338.0,331240.0,165.62,331113.25212499994
2018-09-24,BUY,NIF100BEES.NS,2842,116.44,330922.48,165.46124,25.31088499998441
