date,equity,cash
2018-01-01,999500.2884820173,77.25251705158735
2018-01-02,997501.8236497114,77.25251705158735
2018-01-03,994650.0051835249,77.25251705158735
2018-01-04,1008567.2583726118,77.25251705158735
2018-01-05,1011359.439860649,77.25251705158735
2018-01-08,1014504.220189491,198.42698422988178
2018-01-09,1020250.1831907423,198.42698422988178
2018-01-10,1016286.6249860914,198.42698422988178
2018-01-11,1002916.8637556226,198.42698422988178
2018-01-12,1008444.1352934034,198.42698422988178
2018-01-15,1013697.7014134139,170.95189406571444
2018-01-16,1008018.8267567365,170.95189406571444
2018-01-17,1005602.2961514205,170.95189406571444
2018-01-18,1002505.2573940963,170.95189406571444
2018-01-19,1018733.8042195052,170.95189406571444
2018-01-22,1030579.5255613936,244.93391710647848
2018-01-23,1046923.8774138106,244.93391710647848
2018-01-24,1040251.96991259,244.93391710647848
2018-01-25,1043303.3298597946,244.93391710647848
2018-01-29,1061745.5703685835,49.13476830278523
2018-01-30,1048811.8517330245,49.13476830278523
2018-01-31,1047687.9678791121,49.13476830278523
2018-02-01,1038279.089453514,49.13476830278523
2018-02-02,1043007.0615032271,49.13476830278523
2018-02-05,1023552.7658010728,19.31524336419534
2018-02-06,1000512.0569311389,19.31524336419534
2018-02-07,1009252.7860723742,19.31524336419534
2018-02-08,1004493.8598448046,19.31524336419534
2018-02-09,1011796.4971586474,19.31524336419534
2018-02-12,1017979.0362936266,19.31524336419534
2018-02-14,1002353.1672979601,19.31524336419534
2018-02-15,1011097.0452085742,19.31524336419534
2018-02-16,1015765.2395101793,19.31524336419534
2018-02-19,1013219.2175871142,19.31524336419534
2018-02-20,1012977.5138517625,19.31524336419534
2018-02-21,1007166.2439161547,19.31524336419534
2018-02-22,1012569.0745588549,19.31524336419534
2018-02-23,1013536.781372667,19.31524336419534
2018-02-26,1015408.3676306019,19.31524336419534
2018-02-27,1034623.9878622302,19.31524336419534
2018-02-28,1034104.4020849474,19.31524336419534
2018-03-01,1028369.7062307604,19.31524336419534
2018-03-05,1040195.1996694813,19.31524336419534
2018-03-06,1035992.5655714283,19.31524336419534
2018-03-07,1033778.2297559984,19.31524336419534
2018-03-08,1066256.3416830308,19.31524336419534
2018-03-09,1039475.4932523974,19.31524336419534
2018-03-12,1056700.6744772205,19.31524336419534
2018-03-13,1065510.5267416248,19.31524336419534
2018-03-14,1064408.4304510364,19.31524336419534
2018-03-15,1049550.1404005298,19.31524336419534
2018-03-16,1065459.75336516,19.31524336419534
2018-03-19,1057395.8327646577,645.3360872590565
2018-03-20,1061042.6216783845,645.3360872590565
2018-03-21,1070089.692235025,645.3360872590565
2018-03-22,1054367.4154939973,645.3360872590565
2018-03-23,1042069.4798670138,645.3360872590565
2018-03-26,1042019.2481415002,27.41506120847771
2018-03-27,1047854.4970390528,27.41506120847771
2018-03-28,1032170.1376754967,27.41506120847771
2018-04-02,1054201.3655519846,485.41810325410916
2018-04-03,1054846.436123884,485.41810325410916
2018-04-04,1057479.5724611643,485.41810325410916
2018-04-05,1042487.0616960886,485.41810325410916
2018-04-06,1055704.617299116,485.41810325410916
2018-04-09,1056026.388160982,175.78839138970943
